month,day,black-four,green-four,black,green,yellow,blue
01,1,,,,,,
01,2,,d,i,d,i,
01,3,,,,,,
01,4,k,,k,e,k,a
01,5,,f,a,f,a,b
01,6,b,,b,g,b,c
01,7,,h,c,h,c,d
01,8,d,,d,i,d,e
01,9,,k,e,k,e,
01,10,,,,,,
01,11,,a,f,a,f,f
01,12,g,,g,b,g,g
01,13,,c,h,c,h,h
01,14,i,,i,d,i,i
01,15,,e,k,e,k,k
01,16,,,,,,
01,17,,,,,,
01,18,a,,a,f,a,l
01,19,,g,b,g,b,m
01,20,c,,c,h,c,n
01,21,,i,d,i,d,o
01,22,e,,e,k,e,p
01,23,,,,,,
01,24,,,,,,
01,25,f,,f,a,f,q
01,26,,b,g,b,g,r
01,27,h,,h,c,h,s
01,28,,d,i,d,i,t
01,29,k,,k,e,k,u
01,30,,,,,,
01,31,,,,,,
02,1,,f,a,f,a,a
02,2,b,,b,g,b,b
02,3,,h,c,h,c,c
02,4,d,,d,i,d,d
02,5,,k,e,k,e,e
02,6,,,,,,
02,7,,,,,,
02,8,,a,f,a,f,f
02,9,g,,g,b,g,g
02,10,,c,h,c,h,h
02,11,i,,i,d,i,i
02,12,,e,k,e,k,k
02,13,,,,,,
02,14,,,,,,
02,15,a,,a,f,a,l
02,16,,g,b,g,b,m
02,17,c,,c,h,c,n
02,18,,i,d,i,d,o
02,19,e,,e,k,e,p
02,20,,,,,,
02,21,,,,,,
02,22,f,,f,a,f,q
02,23,,b,g,b,g,r
02,24,h,,h,c,h,s
02,25,,d,i,d,i,t
02,26,k,,k,e,k,u
02,27,,,,,,
02,28,,,,,,
02,29,,f,a,f,a,a
03,1,b,,b,g,b,b
03,2,,h,c,h,c,c
03,3,d,,d,i,d,d
03,4,,k,e,k,e,e
03,5,,,,,,
03,6,,,,,,
03,7,,a,f,a,f,f
03,8,g,,g,b,g,g
03,9,,c,h,c,h,h
03,10,i,,i,d,i,i
03,11,,e,k,e,k,k
03,12,,,,,,
03,13,,,,,,
03,14,a,,a,f,a,l
03,15,,g,b,g,b,m
03,16,c,,c,h,c,n
03,17,,i,d,i,d,o
03,18,e,,e,k,e,p
03,19,,,,,,
03,20,,,,,,
03,21,f,,f,a,f,q
03,22,,b,g,b,g,r
03,23,h,,h,c,h,s
03,24,,d,i,d,i,t
03,25,,,,,,
03,26,k,,k,e,k,u
03,27,,,,,,
03,28,,,,,,
03,29,,f,a,f,a,a
03,30,b,,b,g,b,b
03,31,,h,c,h,c,c
04,1,d,,d,i,d,d
04,2,,k,e,k,e,e
04,3,,,,,,
04,4,,a,f,a,f,f
04,5,g,,g,b,g,g
04,6,,c,h,c,h,h
04,7,i,,i,d,i,i
04,8,,e,k,e,k,k
04,9,,,,,,
04,10,,,,,,
04,11,a,,a,f,a,l
04,12,,g,b,g,b,m
04,13,c,,c,h,c,n
04,14,,i,d,i,d,o
04,15,e,,e,k,e,p
04,16,,,,,,
04,17,,,,,,
04,18,f,,f,a,f,q
04,19,,b,g,b,g,r
04,20,h,,h,c,h,s
04,21,,d,i,d,i,t
04,22,k,,k,e,k,u
04,23,,,,,,
04,24,,,,,,
04,25,,f,a,f,a,a
04,26,b,,b,g,b,b
04,27,,h,c,h,c,c
04,28,d,,d,i,d,d
04,29,,k,e,k,e,e
04,30,,,,,,
05,1,,,,,,
05,2,,a,f,a,f,f
05,3,g,,g,b,g,g
05,4,,c,h,c,h,h
05,5,,,,,,
05,6,i,,i,d,i,i
05,7,,e,k,e,k,k
05,8,,,,,,
05,9,a,,a,f,a,l
05,10,,g,b,g,b,m
05,11,c,,c,h,c,n
05,12,,i,d,i,d,o
05,13,e,,e,k,e,p
05,14,,,,,,
05,15,,,,,,
05,16,,,,,,
05,17,f,,f,a,f,q
05,18,,b,g,b,g,r
05,19,h,,h,c,h,s
05,20,,d,i,d,i,t
05,21,k,,k,e,k,u
05,22,,,,,,
05,23,,f,a,f,a,a
05,24,b,,b,g,b,b
05,25,,h,c,h,c,c
05,26,d,,d,i,d,d
05,27,,k,e,k,e,e
05,28,,,,,,
05,29,,,,,,
05,30,,a,f,a,f,f
05,31,g,,g,b,g,g
06,1,,c,h,c,h,h
06,2,i,,i,d,i,i
06,3,,e,k,e,k,k
06,4,,,,,,
06,5,,,,,,
06,6,a,,a,f,a,l
06,7,,g,b,g,b,m
06,8,c,,c,h,c,n
06,9,,i,d,i,d,o
06,10,e,,e,k,e,p
06,11,,,,,,
06,12,,,,,,
06,13,f,,f,a,f,q
06,14,,b,g,b,g,r
06,15,h,,h,c,h,s
06,16,,d,i,d,i,t
06,17,k,,k,e,k,u
06,18,,,,,,
06,19,,,,,,
06,20,,f,a,f,a,a
06,21,b,,b,g,b,b
06,22,,h,c,h,c,c
06,23,d,,d,i,d,d
06,24,,k,e,k,e,e
06,25,,,,,,
06,26,,,,,,
06,27,,a,f,a,f,f
06,28,g,,g,b,g,g
06,29,,c,h,c,h,h
06,30,i,,i,d,i,i
07,1,,e,k,e,k,k
07,2,,,,,,
07,3,,,,,,
07,4,a,,a,f,a,l
07,5,,g,b,g,b,m
07,6,c,,c,h,c,n
07,7,,i,d,i,d,o
07,8,e,,e,k,e,p
07,9,,,,,,
07,10,,,,,,
07,11,f,,f,a,f,q
07,12,,b,g,b,g,r
07,13,h,,h,c,h,s
07,14,,d,i,d,i,t
07,15,k,,k,e,k,u
07,16,,,,,,
07,17,,,,,,
07,18,,f,a,f,a,a
07,19,b,,b,g,b,b
07,20,,h,c,h,c,c
07,21,d,,d,i,d,d
07,22,,k,e,k,e,e
07,23,,,,,,
07,24,,,,,,
07,25,,a,f,a,f,f
07,26,g,,g,b,g,g
07,27,,c,h,c,h,h
07,28,i,,i,d,i,i
07,29,,e,k,e,k,k
07,30,,,,,,
07,31,,,,,,
08,1,a,,a,f,a,l
08,2,,g,b,g,b,m
08,3,c,,c,h,c,n
08,4,,i,d,i,d,o
08,5,e,,e,k,e,p
08,6,,,,,,
08,7,,,,,,
08,8,f,,f,a,f,q
08,9,,b,g,b,g,r
08,10,h,,h,c,h,s
08,11,,d,i,d,i,t
08,12,k,,k,e,k,u
08,13,,,,,,
08,14,,,,,,
08,15,,f,a,f,a,a
08,16,b,,b,g,b,b
08,17,,h,c,h,c,c
08,18,d,,d,i,d,d
08,19,,k,e,k,e,e
08,20,,,,,,
08,21,,,,,,
08,22,,a,f,a,f,f
08,23,g,,g,b,g,g
08,24,,c,h,c,h,h
08,25,i,,i,d,i,i
08,26,,e,k,e,k,k
08,27,,,,,,
08,28,,,,,,
08,29,a,,a,f,a,l
08,30,,g,b,g,b,m
08,31,c,,c,h,c,n
09,1,,i,d,i,d,o
09,2,e,,e,k,e,p
09,3,,,,,,
09,4,,,,,,
09,5,f,,f,a,f,q
09,6,,b,g,b,g,r
09,7,h,,h,c,h,s
09,8,,d,i,d,i,t
09,9,k,,k,e,k,u
09,10,,,,,,
09,11,,,,,,
09,12,,f,a,f,a,a
09,13,b,,b,g,b,b
09,14,,h,c,h,c,c
09,15,d,,d,i,d,d
09,16,,k,e,k,e,e
09,17,,,,,,
09,18,,,,,,
09,19,,a,f,a,f,f
09,20,g,,g,b,g,g
09,21,,c,h,c,h,h
09,22,i,,i,d,i,i
09,23,,e,k,e,k,k
09,24,,,,,,
09,25,,,,,,
09,26,a,,a,f,a,l
09,27,,g,b,g,b,m
09,28,c,,c,h,c,n
09,29,,i,d,i,d,o
09,30,e,,e,k,e,p
10,1,,,,,,
10,2,,,,,,
10,3,,,,,,
10,4,f,,f,a,f,q
10,5,,b,g,b,g,r
10,6,h,,h,c,h,s
10,7,,d,i,d,i,t
10,8,k,,k,e,k,u
10,9,,,,,,
10,10,,f,a,f,a,a
10,11,b,,b,g,b,b
10,12,,h,c,h,c,c
10,13,d,,d,i,d,d
10,14,,k,e,k,e,e
10,15,,,,,,
10,16,,,,,,
10,17,,a,f,a,f,f
10,18,g,,g,b,g,g
10,19,,c,h,c,h,h
10,20,i,,i,d,i,i
10,21,,e,k,e,k,k
10,22,,,,,,
10,23,,,,,,
10,24,a,,a,f,a,l
10,25,,g,b,g,b,m
10,26,c,,c,h,c,n
10,27,,i,d,i,d,o
10,28,e,,e,k,e,p
10,29,,,,,,
10,30,,,,,,
10,31,,,,,,
11,1,f,,f,a,f,q
11,2,,b,g,b,g,r
11,3,h,,h,c,h,s
11,4,,d,i,d,i,t
11,5,k,,k,e,k,u
11,6,,,,,,
11,7,,f,a,f,a,a
11,8,b,,b,g,b,b
11,9,,h,c,h,c,c
11,10,d,,d,i,d,d
11,11,,k,e,k,e,e
11,12,,,,,,
11,13,,,,,,
11,14,,a,f,a,f,f
11,15,g,,g,b,g,g
11,16,,c,h,c,h,h
11,17,i,,i,d,i,i
11,18,,e,k,e,k,k
11,19,,,,,,
11,20,,,,,,
11,21,a,,a,f,a,l
11,22,,g,b,g,b,m
11,23,c,,c,h,c,n
11,24,,i,d,i,d,o
11,25,e,,e,k,e,p
11,26,,,,,,
11,27,,,,,,
11,28,f,,f,a,f,q
11,29,,b,g,b,g,r
11,30,h,,h,c,h,s
12,1,,d,i,d,i,t
12,2,k,,k,e,k,u
12,3,,,,,,
12,4,,,,,,
12,5,,f,a,f,a,a
12,6,b,,b,g,b,b
12,7,,h,c,h,c,c
12,8,d,,d,i,d,d
12,9,,k,e,k,e,e
12,10,,,,,,
12,11,,,,,,
12,12,,a,f,a,f,f
12,13,g,,g,b,g,g
12,14,,c,h,c,h,h
12,15,i,,i,d,i,i
12,16,,e,k,e,k,k
12,17,,,,,,
12,18,,,,,,
12,19,a,,a,f,a,l
12,20,,g,b,g,b,m
12,21,c,,c,h,c,n
12,22,,i,d,i,d,o
12,23,e,,e,k,e,p
12,24,,,,,,
12,25,,,,,,
12,26,,,,,,
12,27,f,,f,a,f,q
12,28,,b,g,b,g,r
12,29,h,,h,c,h,s
12,30,,d,i,d,i,t
12,31,k,,k,e,k,u