month,day,black-four,green-four,black,green,yellow,blue,black-weekly,black-twice,green-weekly,green-twice
01,1,,,,,,,,,,
01,2,q,a,fq,al,f,f,av,a,v,
01,3,g,m,gr,bm,g,g,cw,bcdef,w,
01,4,s,cn,hs,cn,h,h,x,,x,
01,5,i,,it,do,i,i,bdfy,bd,y,
01,6,u,e,ku,ep,k,k,ez,ace,z,
01,7,,,,,,,,,,
01,8,,,,,,,,,,
01,9,a,q,al,fq,a,l,av,a,v,
01,10,m,g,bm,gr,b,m,cw,bcdef,w,
01,11,c,s,cn,hs,c,n,x,,x,
01,12,o,it,do,it,d,o,bdfy,bd,y,
01,13,e,u,ep,ku,e,p,ez,ace,z,
01,14,,,,,,,,,,
01,15,,,,,,,,,,
01,16,f,l,fq,al,f,q,av,a,v,
01,17,r,b,gr,bm,g,r,cw,bcdef,w,
01,18,h,,hs,cn,h,s,x,,x,
01,19,t,do,it,do,i,t,bdfy,bd,y,
01,20,k,p,ku,ep,k,u,ez,ace,z,
01,21,,,,,,,,,,
01,22,,,,,,,,,,
01,23,l,f,al,fq,a,a,av,a,v,
01,24,b,r,bm,gr,b,b,cw,bcdef,w,
01,25,n,h,cn,hs,c,c,x,,x,
01,26,d,,do,it,d,d,bdfy,bd,y,
01,27,p,k,ep,ku,e,e,ez,ace,z,
01,28,,,,,,,,,,
01,29,,,,,,,,,,
01,30,q,a,fq,al,f,f,av,a,v,
01,31,g,m,gr,bm,g,g,cw,bcdef,w,
02,1,s,cn,hs,cn,h,h,x,,x,
02,2,i,,it,do,i,i,bdfy,bd,y,
02,3,u,e,ku,ep,k,k,ez,ace,z,
02,4,,,,,,,,,,
02,5,,,,,,,,,,
02,6,a,q,al,fq,a,l,av,a,v,
02,7,m,g,bm,gr,b,m,cw,bcdef,w,
02,8,c,s,cn,hs,c,n,x,,x,
02,9,o,it,do,it,d,o,bdfy,bd,y,
02,10,e,u,ep,ku,e,p,ez,ace,z,
02,11,,,,,,,,,,
02,12,,,,,,,,,,
02,13,f,l,fq,al,f,q,av,a,v,
02,14,r,b,gr,bm,g,r,cw,bcdef,w,
02,15,h,,hs,cn,h,s,x,,x,
02,16,t,do,it,do,i,t,bdfy,bd,y,
02,17,k,p,ku,ep,k,u,ez,ace,z,
02,18,,,,,,,,,,
02,19,,,,,,,,,,
02,20,l,f,al,fq,a,a,av,a,v,
02,21,b,r,bm,gr,b,b,cw,bcdef,w,
02,22,n,h,cn,hs,c,c,x,,x,
02,23,d,,do,it,d,d,bdfy,bd,y,
02,24,p,k,ep,ku,e,e,ez,ace,z,
02,25,,,,,,,,,,
02,26,,,,,,,,,,
02,27,q,a,fq,al,f,f,av,a,v,
02,28,g,m,gr,bm,g,g,cw,bcdef,w,
03,1,s,cn,hs,cn,h,h,x,,x,
03,2,i,,it,do,i,i,bdfy,bd,y,
03,3,u,e,ku,ep,k,k,ez,ace,z,
03,4,,,,,,,,,,
03,5,,,,,,,,,,
03,6,a,q,al,fq,a,l,av,a,v,
03,7,m,g,bm,gr,b,m,cw,bcdef,w,
03,8,,,,,,,,,,
03,9,c,s,cn,hs,c,n,x,,x,
03,10,o,it,do,it,d,o,bdfy,bd,y,
03,11,e,u,ep,ku,e,p,ez,ace,z,
03,12,,,,,,,,,,
03,13,f,l,fq,al,f,q,av,a,v,
03,14,r,b,gr,bm,g,r,cw,bcdef,w,
03,15,h,,hs,cn,h,s,x,,x,
03,16,t,do,it,do,i,t,bdfy,bd,y,
03,17,k,p,ku,ep,k,u,ez,ace,z,
03,18,,,,,,,,,,
03,19,,,,,,,,,,
03,20,l,f,al,fq,a,a,av,a,v,
03,21,b,r,bm,gr,b,b,cw,bcdef,w,
03,22,n,h,cn,hs,c,c,x,,x,
03,23,d,,do,it,d,d,bdfy,bd,y,
03,24,p,k,ep,ku,e,e,ez,ace,z,
03,25,,,,,,,,,,
03,26,,,,,,,,,,
03,27,q,a,fq,al,f,f,av,a,v,
03,28,g,m,gr,bm,g,g,cw,bcdef,w,
03,29,s,cn,hs,cn,h,h,x,,x,
03,30,i,,it,do,i,i,bdfy,bd,y,
03,31,u,e,ku,ep,k,k,ez,ace,z,
04,1,,,,,,,,,,
04,2,,,,,,,,,,
04,3,a,q,al,fq,a,l,av,a,v,
04,4,m,g,bm,gr,b,m,cw,bcdef,w,
04,5,c,s,cn,hs,c,n,x,,x,
04,6,o,it,do,it,d,o,bdfy,bd,y,
04,7,,,,,,,,,,
04,8,e,u,ep,ku,e,p,ez,ace,z,
04,9,,,,,,,,,,
04,10,,,,,,,,,,
04,11,f,l,fq,al,f,q,av,a,v,
04,12,r,b,gr,bm,g,r,cw,bcdef,w,
04,13,h,,hs,cn,h,s,x,,x,
04,14,t,do,it,do,i,t,bdfy,bd,y,
04,15,k,p,ku,ep,k,u,ez,ace,z,
04,16,,,,,,,,,,
04,17,l,f,al,fq,a,a,av,a,v,
04,18,b,r,bm,gr,b,b,cw,bcdef,w,
04,19,n,h,cn,hs,c,c,x,,x,
04,20,d,,do,it,d,d,bdfy,bd,y,
04,21,p,k,ep,ku,e,e,ez,ace,z,
04,22,,,,,,,,,,
04,23,,,,,,,,,,
04,24,q,a,fq,al,f,f,av,a,v,
04,25,g,m,gr,bm,g,g,cw,bcdef,w,
04,26,s,cn,hs,cn,h,h,x,,x,
04,27,i,,it,do,i,i,bdfy,bd,y,
04,28,u,e,ku,ep,k,k,ez,ace,z,
04,29,,,,,,,,,,
04,30,,,,,,,,,,
05,1,,,,,,,,,,
05,2,a,q,al,fq,a,l,av,a,v,
05,3,m,g,bm,gr,b,m,cw,bcdef,w,
05,4,c,s,cn,hs,c,n,x,,x,
05,5,o,it,do,it,d,o,bdfy,bd,y,
05,6,e,u,ep,ku,e,p,ez,ace,z,
05,7,,,,,,,,,,
05,8,f,l,fq,al,f,q,av,a,v,
05,9,r,b,gr,bm,g,r,cw,bcdef,w,
05,10,h,,hs,cn,h,s,x,,x,
05,11,t,do,it,do,i,t,bdfy,bd,y,
05,12,k,p,ku,ep,k,u,ez,ace,z,
05,13,,,,,,,,,,
05,14,,,,,,,,,,
05,15,l,f,al,fq,a,a,av,a,v,
05,16,b,r,bm,gr,b,b,cw,bcdef,w,
05,17,n,h,cn,hs,c,c,x,,x,
05,18,,,,,,,,,,
05,19,d,,do,it,d,d,bdfy,bd,y,
05,20,p,k,ep,ku,e,e,ez,ace,z,
05,21,,,,,,,,,,
05,22,q,a,fq,al,f,f,av,a,v,
05,23,g,m,gr,bm,g,g,cw,bcdef,w,
05,24,s,cn,hs,cn,h,h,x,,x,
05,25,i,,it,do,i,i,bdfy,bd,y,
05,26,u,e,ku,ep,k,k,ez,ace,z,
05,27,,,,,,,,,,
05,28,,,,,,,,,,
05,29,,,,,,,,,,
05,30,a,q,al,fq,a,l,av,a,v,
05,31,m,g,bm,gr,b,m,cw,bcdef,w,
06,1,c,s,cn,hs,c,n,x,,x,
06,2,o,it,do,it,d,o,bdfy,bd,y,
06,3,e,u,ep,ku,e,p,ez,ace,z,
06,4,,,,,,,,,,
06,5,f,l,fq,al,f,q,av,a,v,
06,6,r,b,gr,bm,g,r,cw,bcdef,w,
06,7,h,,hs,cn,h,s,x,,x,
06,8,t,do,it,do,i,t,bdfy,bd,y,
06,9,k,p,ku,ep,k,u,ez,ace,z,
06,10,,,,,,,,,,
06,11,,,,,,,,,,
06,12,l,f,al,fq,a,a,av,a,v,
06,13,b,r,bm,gr,b,b,cw,bcdef,w,
06,14,n,h,cn,hs,c,c,x,,x,
06,15,d,,do,it,d,d,bdfy,bd,y,
06,16,p,k,ep,ku,e,e,ez,ace,z,
06,17,,,,,,,,,,
06,18,,,,,,,,,,
06,19,q,a,fq,al,f,f,av,a,v,
06,20,g,m,gr,bm,g,g,cw,bcdef,w,
06,21,s,cn,hs,cn,h,h,x,,x,
06,22,i,,it,do,i,i,bdfy,bd,y,
06,23,u,e,ku,ep,k,k,ez,ace,z,
06,24,,,,,,,,,,
06,25,,,,,,,,,,
06,26,a,q,al,fq,a,l,av,a,v,
06,27,m,g,bm,gr,b,m,cw,bcdef,w,
06,28,c,s,cn,hs,c,n,x,,x,
06,29,o,it,do,it,d,o,bdfy,bd,y,
06,30,e,u,ep,ku,e,p,ez,ace,z,
07,1,,,,,,,,,,
07,2,,,,,,,,,,
07,3,f,l,fq,al,f,q,av,a,v,
07,4,r,b,gr,bm,g,r,cw,bcdef,w,
07,5,h,,hs,cn,h,s,x,,x,
07,6,t,do,it,do,i,t,bdfy,bd,y,
07,7,k,p,ku,ep,k,u,ez,ace,z,
07,8,,,,,,,,,,
07,9,,,,,,,,,,
07,10,l,f,al,fq,a,a,av,a,v,
07,11,b,r,bm,gr,b,b,cw,bcdef,w,
07,12,n,h,cn,hs,c,c,x,,x,
07,13,d,,do,it,d,d,bdfy,bd,y,
07,14,p,k,ep,ku,e,e,ez,ace,z,
07,15,,,,,,,,,,
07,16,,,,,,,,,,
07,17,q,a,fq,al,f,f,av,a,v,
07,18,g,m,gr,bm,g,g,cw,bcdef,w,
07,19,s,cn,hs,cn,h,h,x,,x,
07,20,i,,it,do,i,i,bdfy,bd,y,
07,21,u,e,ku,ep,k,k,ez,ace,z,
07,22,,,,,,,,,,
07,23,,,,,,,,,,
07,24,a,q,al,fq,a,l,av,a,v,
07,25,m,g,bm,gr,b,m,cw,bcdef,w,
07,26,c,s,cn,hs,c,n,x,,x,
07,27,o,it,do,it,d,o,bdfy,bd,y,
07,28,e,u,ep,ku,e,p,ez,ace,z,
07,29,,,,,,,,,,
07,30,,,,,,,,,,
07,31,f,l,fq,al,f,q,av,a,v,
08,1,r,b,gr,bm,g,r,cw,bcdef,w,
08,2,h,,hs,cn,h,s,x,,x,
08,3,t,do,it,do,i,t,bdfy,bd,y,
08,4,k,p,ku,ep,k,u,ez,ace,z,
08,5,,,,,,,,,,
08,6,,,,,,,,,,
08,7,l,f,al,fq,a,a,av,a,v,
08,8,b,r,bm,gr,b,b,cw,bcdef,w,
08,9,n,h,cn,hs,c,c,x,,x,
08,10,d,,do,it,d,d,bdfy,bd,y,
08,11,p,k,ep,ku,e,e,ez,ace,z,
08,12,,,,,,,,,,
08,13,,,,,,,,,,
08,14,q,a,fq,al,f,f,av,a,v,
08,15,g,m,gr,bm,g,g,cw,bcdef,w,
08,16,s,cn,hs,cn,h,h,x,,x,
08,17,i,,it,do,i,i,bdfy,bd,y,
08,18,u,e,ku,ep,k,k,ez,ace,z,
08,19,,,,,,,,,,
08,20,,,,,,,,,,
08,21,a,q,al,fq,a,l,av,a,v,
08,22,m,g,bm,gr,b,m,cw,bcdef,w,
08,23,c,s,cn,hs,c,n,x,,x,
08,24,o,it,do,it,d,o,bdfy,bd,y,
08,25,e,u,ep,ku,e,p,ez,ace,z,
08,26,,,,,,,,,,
08,27,,,,,,,,,,
08,28,f,l,fq,al,f,q,av,a,v,
08,29,r,b,gr,bm,g,r,cw,bcdef,w,
08,30,h,,hs,cn,h,s,x,,x,
08,31,t,do,it,do,i,t,bdfy,bd,y,
09,1,k,p,ku,ep,k,u,ez,ace,z,
09,2,,,,,,,,,,
09,3,,,,,,,,,,
09,4,l,f,al,fq,a,a,av,a,v,
09,5,b,r,bm,gr,b,b,cw,bcdef,w,
09,6,n,h,cn,hs,c,c,x,,x,
09,7,d,,do,it,d,d,bdfy,bd,y,
09,8,p,k,ep,ku,e,e,ez,ace,z,
09,9,,,,,,,,,,
09,10,,,,,,,,,,
09,11,q,a,fq,al,f,f,av,a,v,
09,12,g,m,gr,bm,g,g,cw,bcdef,w,
09,13,s,cn,hs,cn,h,h,x,,x,
09,14,i,,it,do,i,i,bdfy,bd,y,
09,15,u,e,ku,ep,k,k,ez,ace,z,
09,16,,,,,,,,,,
09,17,,,,,,,,,,
09,18,a,q,al,fq,a,l,av,a,v,
09,19,m,g,bm,gr,b,m,cw,bcdef,w,
09,20,c,s,cn,hs,c,n,x,,x,
09,21,o,it,do,it,d,o,bdfy,bd,y,
09,22,e,u,ep,ku,e,p,ez,ace,z,
09,23,,,,,,,,,,
09,24,,,,,,,,,,
09,25,f,l,fq,al,f,q,av,a,v,
09,26,r,b,gr,bm,g,r,cw,bcdef,w,
09,27,h,,hs,cn,h,s,x,,x,
09,28,t,do,it,do,i,t,bdfy,bd,y,
09,29,k,p,ku,ep,k,u,ez,ace,z,
09,30,,,,,,,,,,
10,1,,,,,,,,,,
10,2,l,f,al,fq,a,a,av,a,v,
10,3,,,,,,,,,,
10,4,b,r,bm,gr,b,b,cw,bcdef,w,
10,5,n,h,cn,hs,c,c,x,,x,
10,6,d,,do,it,d,d,bdfy,bd,y,
10,7,p,k,ep,ku,e,e,ez,ace,z,
10,8,,,,,,,,,,
10,9,q,a,fq,al,f,f,av,a,v,
10,10,g,m,gr,bm,g,g,cw,bcdef,w,
10,11,s,cn,hs,cn,h,h,x,,x,
10,12,i,,it,do,i,i,bdfy,bd,y,
10,13,u,e,ku,ep,k,k,ez,ace,z,
10,14,,,,,,,,,,
10,15,,,,,,,,,,
10,16,a,q,al,fq,a,l,av,a,v,
10,17,m,g,bm,gr,b,m,cw,bcdef,w,
10,18,c,s,cn,hs,c,n,x,,x,
10,19,o,it,do,it,d,o,bdfy,bd,y,
10,20,e,u,ep,ku,e,p,ez,ace,z,
10,21,,,,,,,,,,
10,22,,,,,,,,,,
10,23,f,l,fq,al,f,q,av,a,v,
10,24,r,b,gr,bm,g,r,cw,bcdef,w,
10,25,h,,hs,cn,h,s,x,,x,
10,26,t,do,it,do,i,t,bdfy,bd,y,
10,27,k,p,ku,ep,k,u,ez,ace,z,
10,28,,,,,,,,,,
10,29,,,,,,,,,,
10,30,l,f,al,fq,a,a,av,a,v,
10,31,,,,,,,,,,
11,1,b,r,bm,gr,b,b,cw,bcdef,w,
11,2,n,h,cn,hs,c,c,x,,x,
11,3,d,,do,it,d,d,bdfy,bd,y,
11,4,p,k,ep,ku,e,e,ez,ace,z,
11,5,,,,,,,,,,
11,6,q,a,fq,al,f,f,av,a,v,
11,7,g,m,gr,bm,g,g,cw,bcdef,w,
11,8,s,cn,hs,cn,h,h,x,,x,
11,9,i,,it,do,i,i,bdfy,bd,y,
11,10,u,e,ku,ep,k,k,ez,ace,z,
11,11,,,,,,,,,,
11,12,,,,,,,,,,
11,13,a,q,al,fq,a,l,av,a,v,
11,14,m,g,bm,gr,b,m,cw,bcdef,w,
11,15,c,s,cn,hs,c,n,x,,x,
11,16,o,it,do,it,d,o,bdfy,bd,y,
11,17,e,u,ep,ku,e,p,ez,ace,z,
11,18,,,,,,,,,,
11,19,,,,,,,,,,
11,20,f,l,fq,al,f,q,av,a,v,
11,21,r,b,gr,bm,g,r,cw,bcdef,w,
11,22,h,,hs,cn,h,s,x,,x,
11,23,t,do,it,do,i,t,bdfy,bd,y,
11,24,k,p,ku,ep,k,u,ez,ace,z,
11,25,,,,,,,,,,
11,26,,,,,,,,,,
11,27,l,f,al,fq,a,a,av,a,v,
11,28,b,r,bm,gr,b,b,cw,bcdef,w,
11,29,n,h,cn,hs,c,c,x,,x,
11,30,d,,do,it,d,d,bdfy,bd,y,
12,1,p,k,ep,ku,e,e,ez,ace,z,
12,2,,,,,,,,,,
12,3,,,,,,,,,,
12,4,q,a,fq,al,f,f,av,a,v,
12,5,g,m,gr,bm,g,g,cw,bcdef,w,
12,6,s,cn,hs,cn,h,h,x,,x,
12,7,i,,it,do,i,i,bdfy,bd,y,
12,8,u,e,ku,ep,k,k,ez,ace,z,
12,9,,,,,,,,,,
12,10,,,,,,,,,,
12,11,a,q,al,fq,a,l,av,a,v,
12,12,m,g,bm,gr,b,m,cw,bcdef,w,
12,13,c,s,cn,hs,c,n,x,,x,
12,14,o,it,do,it,d,o,bdfy,bd,y,
12,15,e,u,ep,ku,e,p,ez,ace,z,
12,16,,,,,,,,,,
12,17,,,,,,,,,,
12,18,f,l,fq,al,f,q,av,a,v,
12,19,r,b,gr,bm,g,r,cw,bcdef,w,
12,20,h,,hs,cn,h,s,x,,x,
12,21,t,do,it,do,i,t,bdfy,bd,y,
12,22,k,p,ku,ep,k,u,ez,ace,z,
12,23,,,,,,,,,,
12,24,,,,,,,,,,
12,25,,,,,,,,,,
12,26,,,,,,,,,,
12,27,l,f,al,fq,a,a,av,a,v,
12,28,b,r,bm,gr,b,b,cw,bcdef,w,
12,29,n,h,cn,hs,c,c,x,,x,
12,30,d,,do,it,d,d,bdfy,bd,y,
12,31,,,,,,,,,,